GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,Estimate; HOUSEHOLDS BY TYPE - Total households
HC02_VC03,Margin of Error; HOUSEHOLDS BY TYPE - Total households
HC03_VC03,Percent; HOUSEHOLDS BY TYPE - Total households
HC04_VC03,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households
HC01_VC04,Estimate; HOUSEHOLDS BY TYPE - Family households (families)
HC02_VC04,Margin of Error; HOUSEHOLDS BY TYPE - Family households (families)
HC03_VC04,Percent; HOUSEHOLDS BY TYPE - Family households (families)
HC04_VC04,Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families)
HC01_VC06,Estimate; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
HC02_VC06,Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
HC03_VC06,Percent; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
HC04_VC06,Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
HC01_VC07,Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
HC02_VC07,Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
HC03_VC07,Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
HC04_VC07,Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
HC01_VC08,Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
HC02_VC08,Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
HC03_VC08,Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
HC04_VC08,Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
HC01_VC09,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
HC02_VC09,"Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
HC03_VC09,"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
HC04_VC09,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
HC01_VC10,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
HC02_VC10,"Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
HC03_VC10,"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
HC04_VC10,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
HC01_VC11,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
HC02_VC11,"Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
HC03_VC11,"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
HC04_VC11,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
HC01_VC12,"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
HC02_VC12,"Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
HC03_VC12,"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
HC04_VC12,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
HC01_VC13,Estimate; HOUSEHOLDS BY TYPE - Nonfamily households
HC02_VC13,Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households
HC03_VC13,Percent; HOUSEHOLDS BY TYPE - Nonfamily households
HC04_VC13,Percent Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households
HC01_VC14,Estimate; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
HC02_VC14,Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
HC03_VC14,Percent; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
HC04_VC14,Percent Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
HC01_VC15,Estimate; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone - 65 years and over
HC02_VC15,Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone - 65 years and over
HC03_VC15,Percent; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone - 65 years and over
HC04_VC15,Percent Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone - 65 years and over
HC01_VC17,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC02_VC17,Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC03_VC17,Percent; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC04_VC17,Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
HC01_VC18,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
