Date,Value
9/11/16,621.65
9/12/16,609.67
9/13/16,610.92
9/14/16,608.82
9/15/16,610.38
9/16/16,609.11
9/17/16,607.04
9/18/16,611.58
9/19/16,610.19
9/20/16,608.66
9/21/16,598.88
9/22/16,597.42
9/23/16,594.08
9/24/16,603.88
9/25/16,601.74
9/26/16,598.98
9/27/16,605.96
9/28/16,605.67
9/29/16,603.85
9/30/16,609.39
10/1/16,614.82
10/2/16,612.98
10/3/16,611.85
10/4/16,609.62
10/5/16,607.18
10/6/16,612.08
10/7/16,617.21
10/8/16,614.74
10/9/16,615.65
10/10/16,617.54
10/11/16,614.77
10/12/16,635.01
10/13/16,635.96
10/14/16,634.02
10/15/16,637.94
10/16/16,641.42
10/17/16,638.97
10/18/16,636.29
10/19/16,629.25
10/20/16,627.72
10/21/16,631.92
10/22/16,655.48
10/23/16,653.25
10/24/16,651.39
10/25/16,655.31
10/26/16,651.45
10/27/16,682.22
10/28/16,687.68
10/29/16,685.91
10/30/16,698
10/31/16,702
11/1/16,697.01
11/2/16,733.33
11/3/16,686.17
11/4/16,683.69
11/5/16,704.79
11/6/16,712
11/7/16,709.96
11/8/16,708.97
11/9/16,720.93
11/10/16,721.5
11/11/16,715.45
11/12/16,703.71
11/13/16,702.28
11/14/16,706.46
11/15/16,710.91
11/16/16,711.73
11/17/16,736.96
11/18/16,747.52
11/19/16,748.98
11/20/16,729.06
11/21/16,738.53
11/22/16,736.97
11/23/16,741.63
11/24/16,737.45
11/25/16,735.64
11/26/16,733.67
11/27/16,727.96
11/28/16,727.31
11/29/16,732.71
11/30/16,742.69
12/1/16,742.05
12/2/16,772.43
12/3/16,764.33
12/4/16,762.97
12/5/16,754.63
12/6/16,756.62
12/7/16,758.99
12/8/16,769.72
12/9/16,770.02
12/10/16,769.08
12/11/16,777
12/12/16,777
12/13/16,777.99
12/14/16,774.89
12/15/16,776.75
12/16/16,775.88
12/17/16,788.7
12/18/16,788.4
12/19/16,788.67
12/20/16,793.09
12/21/16,824.21
12/22/16,834.97
12/23/16,901.31
12/24/16,891.61
12/25/16,892.6
12/26/16,897.33
12/27/16,930.37
12/28/16,930.34
12/29/16,963.38
12/30/16,952.15
12/31/16,958.12
1/1/17,997.72
1/2/17,1015.97
1/3/17,1013.42
1/4/17,1126.76
1/5/17,994.67
1/6/17,999.65
1/7/17,896.83
1/8/17,908.14
1/9/17,910.49
1/10/17,906.05
1/11/17,785.22
1/12/17,780.92
1/13/17,826.29
1/14/17,817.91
1/15/17,819.55
1/16/17,830.5
1/17/17,903.84
1/18/17,906.6
1/19/17,895.798875
1/20/17,893.6210875
1/21/17,895.64
1/22/17,918.603625
1/23/17,922.0736125
1/24/17,919.97
1/25/17,893.045625
1/26/17,915.95625
1/27/17,915.05
1/28/17,920.31225
1/29/17,915.933
1/30/17,912.19
1/31/17,964.706075
2/1/17,979.703875
2/2/17,983.42
2/3/17,1013.027
2/4/17,1030.999413
2/5/17,1034.07
2/6/17,1024.01375
2/7/17,1050.11
2/8/17,1052.84
2/9/17,976.103
2/10/17,999.1035
2/11/17,997.59
2/12/17,1000.604625
2/13/17,999.877375
2/14/17,1001.2
2/15/17,1012.325988
2/16/17,1035.208125
2/17/17,1035.2
2/18/17,1056.637138
2/19/17,1052.779286
2/20/17,1050.87
2/21/17,1123.788429
2/22/17,1123.223188
2/23/17,1130.01
2/24/17,1174.86625
2/25/17,1150.605714
2/26/17,1150.37
2/27/17,1190.75195
2/28/17,1187.565286
3/1/17,1190.89
3/2/17,1259.410817
3/3/17,1285.14
3/4/17,1287
3/5/17,1270.9333
3/6/17,1275.197375
3/7/17,1279.5
3/8/17,1157.3933
3/9/17,1192.469143
3/10/17,1192.09
3/11/17,1179.159875
3/12/17,1227.494625
3/13/17,1227.68
3/14/17,1245.370786
3/15/17,1257.399625
3/16/17,1257
3/17/17,1091.171888
3/18/17,952.2323625
3/19/17,967.69
3/20/17,1049.084488
3/21/17,1118.630043
3/22/17,1113
3/23/17,1038.789
3/24/17,941.9197143
3/25/17,927.93
3/26/17,956.7863125
3/27/17,1037.22925
3/28/17,1041.04
3/29/17,1040.5755
3/30/17,1037.90455
3/31/17,1034.74
4/1/17,1086.929571
4/2/17,1099.169125
4/3/17,1079.99
4/4/17,1141.600363
4/5/17,1133.079314
4/6/17,1133.53
4/7/17,1190.45425
4/8/17,1181.149838
4/9/17,1184.03
4/10/17,1207.744875
4/11/17,1226.617038
4/12/17,1219.09
4/13/17,1180.023713
4/14/17,1185.260057
4/15/17,1170.36
4/16/17,1186.927413
4/17/17,1205.634875
4/18/17,1176.97
4/19/17,1217.930088
4/20/17,1241.686325
4/21/17,1236.63
4/22/17,1261.311225
4/23/17,1257.988113
4/24/17,1240.84
4/25/17,1279.414688
4/26/17,1309.109875
4/27/17,1288.02
4/28/17,1331.294429
4/29/17,1334.979038
4/30/17,1333
5/1/17,1417.172813
5/2/17,1452.076288
5/3/17,1447.55
5/4/17,1508.292125
5/5/17,1533.335071
5/6/17,1518.75
5/7/17,1535.868429
5/8/17,1640.619225
5/9/17,1651.1
5/10/17,1762.88625
5/11/17,1820.990563
5/12/17,1829
5/13/17,1771.920013
5/14/17,1776.3165
5/15/17,1780
5/16/17,1739.031975
5/17/17,1807.485063
5/18/17,1783.98
5/19/17,1961.520488
5/20/17,2052.909788
5/21/17,2008.84
5/22/17,2090.662313
5/23/17,2287.710288
5/24/17,2256.32
5/25/17,2387.206286
5/26/17,2211.976857
5/27/17,2279.82
5/28/17,2192.9808
5/29/17,2275.9307
5/30/17,2290.02
5/31/17,2285.933914
6/1/17,2399.242671
6/2/17,2409.93
6/3/17,2525.765158
6/4/17,2516.173143
6/5/17,2529.53
6/6/17,2883.313697
6/7/17,2664.920863
6/8/17,2683.03
6/9/17,2827.4913
6/10/17,2845.372857
6/11/17,2898.63
6/12/17,2657.675063
6/13/17,2748.185086
6/14/17,2706
6/15/17,2442.48025
6/16/17,2464.959814
6/17/17,2477.94
6/18/17,2507.389252
6/19/17,2617.210263
6/20/17,2600
6/21/17,2671.04325
6/22/17,2727.288013
6/23/17,2713.48
6/24/17,2589.164888
6/25/17,2512.366286
6/26/17,2502.03
6/27/17,2517.903114
6/28/17,2585.349186
6/29/17,2558.3
6/30/17,2477.641375
7/1/17,2501.191343
7/2/17,2421.26
7/3/17,2561.225429
7/4/17,2599.729838
7/5/17,2598.89
7/6/17,2609.96775
7/7/17,2491.201214
7/8/17,2502.86
7/9/17,2536.238938
7/10/17,2366.170143
7/11/17,2327.09
7/12/17,2385.748571
7/13/17,2354.783417
7/14/17,2338.49
7/15/17,2058.9956
7/16/17,1931.2143
7/17/17,1910.96
7/18/17,2320.12225
7/19/17,2264.7657
7/20/17,2265.21
7/21/17,2682.195363
7/22/17,2807.609857
7/23/17,2825.51
7/24/17,2751.821029
7/25/17,2560.997917
7/26/17,2564.3
7/27/17,2647.625
7/28/17,2781.636583
7/29/17,2784.8
7/30/17,2745.955417
7/31/17,2866.431667
8/1/17,2862.9
8/2/17,2693.633983
8/3/17,2794.117717
8/4/17,2790
8/5/17,3218.115017
8/6/17,3252.562533
8/7/17,3210.2
8/8/17,3457.374333
8/9/17,3357.326317
8/10/17,3340.28
8/11/17,3632.506667
8/12/17,3852.802914
8/13/17,3868.52
8/14/17,4282.992
8/15/17,4217.028329
8/16/17,4179.97
8/17/17,4328.725717
8/18/17,4130.440067
8/19/17,4104.71
8/20/17,4157.958033
8/21/17,4043.722
8/22/17,3986.28
8/23/17,4174.95
8/24/17,4340.316717
8/25/17,4331.77
8/26/17,4360.513317
8/27/17,4354.308333
8/28/17,4339.05
8/29/17,4607.98545
8/30/17,4594.98785
8/31/17,4582.52
9/1/17,4911.740017
9/2/17,4580.38748
9/3/17,4585.57
9/4/17,4344.098317
9/5/17,4488.72014
9/6/17,4385.02
9/7/17,4654.6585
9/8/17,4310.750183
9/9/17,4312.26
9/10/17,4329.955
9/11/17,4248.090017
9/12/17,4198.59
9/13/17,3961.271267
9/14/17,3319.63
9/15/17,3216.43
9/16/17,3763.62604
9/17/17,3746.060783
9/18/17,3678.53
9/19/17,3943.413333
9/20/17,3977.561667
9/21/17,3894.48
9/22/17,3637.50255
9/23/17,3776.3869
9/24/17,3777.62
9/25/17,3942.555
9/26/17,3910.307383
9/27/17,3881
9/28/17,4201.98905
9/29/17,4193.574667
9/30/17,4164.27
10/1/17,4360.722967
10/2/17,4386.88375
10/3/17,4394.07
10/4/17,4225.175
10/5/17,4338.852
10/6/17,4318.58
10/7/17,4376.191667
10/8/17,4602.280883
10/9/17,4605.66
10/10/17,4782.28
10/11/17,4819.485767
10/12/17,4822.17
10/13/17,5563.806567
10/14/17,5739.438733
10/15/17,5825.99
10/16/17,5711.205867
10/17/17,5603.71294
10/18/17,5594.66
10/19/17,5727.6335
10/20/17,5979.45984
10/21/17,5986.44
10/22/17,5983.18455
10/23/17,5876.079867
10/24/17,5900.59
10/25/17,5669.622533
10/26/17,5893.138417
10/27/17,5889.82
10/28/17,5776.69695
10/29/17,6155.43402
10/30/17,6136.49
10/31/17,6388.645167
11/1/17,6665.306683
11/2/17,6751.98
11/3/17,7197.72006
11/4/17,7437.543317
11/5/17,7365.99
11/6/17,6989.071667
11/7/17,7092.127233
11/8/17,7128.64
11/9/17,7158.03706
11/10/17,6719.39785
11/11/17,6569.22
11/12/17,5716.301583
11/13/17,6550.227533
11/14/17,6493.63
11/15/17,7301.42992
11/16/17,7815.0307
11/17/17,7868.77
11/18/17,7817.140383
11/19/17,8007.654067
11/20/17,8049.72
11/21/17,8059.8
11/22/17,8268.035
11/23/17,8236.72
11/24/17,8250.978333
11/25/17,8707.407267
11/26/17,8768.8
11/27/17,9718.29505
11/28/17,9952.50882
11/29/17,9919
11/30/17,10147.372
12/1/17,10883.912
12/2/17,10879.88
12/3/17,11332.622
12/4/17,11584.83
12/5/17,11591.22
12/6/17,13540.98
12/7/17,16501.97167
12/8/17,16860.88
12/9/17,15142.83415
12/10/17,14869.805
12/11/17,15068.95
12/12/17,17276.39333
12/13/17,16808.36667
12/14/17,16252.31
12/15/17,17771.9
12/16/17,19498.68333
12/17/17,19279.9
12/18/17,18961.85667
12/19/17,17737.11167
12/20/17,17382.94
12/21/17,16047.51
12/22/17,15190.945
12/23/17,13776.61
12/24/17,13949.175
12/25/17,14119.02833
12/26/17,13740.94
12/27/17,15589.32167
12/28/17,14380.58167
12/29/17,14214.01
